Invariant,Avg,Prior,Ratio,S24,S10,S25,S8,S21,S9,S6,S16,S14,S23,S22,S26,S13,S12,S15,S7,S17,S11,S27
P(CurrentThrottle_Machine=CurrentThrottle_Machine>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.68421,0.9025,0.75813,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1
P(CurrentThrottle_Machine=CurrentThrottle_Machine>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.68421,0.9025,0.75813,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.0064,0.00847,0.75538,0.01302980231,0,0,0,0,0,0,0,0.01191439125,0.02344947452,0.01103004068,0,0.02005674383,0,0.02440334452,0,0,0.01058713523,0.007092936613
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 Trust_Human=Trust_Human==0 ),0.00639,0.00847,0.7547,0.01247035379,0,0,0,0.01181796075,0.01723667614,0,0.00803072637,0.006239574137,0.006813981496,0.01080919815,0,0.01275726889,0,0.01589455421,0,0.00626556578,0.004749820244,0.008368456245
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 Trust_Human=Trust_Human==0 ),0.02555,0.03388,0.75424,0,0,0.2610281295,0,0,0.008301626857,0.07007509927,0.008880422997,0.01137322673,0.01803398132,0.02418618959,0,0.01320558377,0,0.01481782515,0.01960295146,0.0308568959,0.005158851372,0
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.08635,0.115,0.75085,0.07943624867,0.07170074203,0.07359775808,0.07741941609,0.06887030756,0.1088771251,0.08186362444,0.1378849551,0.08072270977,0.05086585538,0.1180952958,0.07917252411,0.0434073947,0.09546199676,0.08235072194,0.08484394925,0.09712905113,0.09307729325,0.1158265245
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.68073,0.91767,0.7418,1,1,1,0,0,0.8938368014,0.4914280378,0.5485282696,1,0.9175536022,0.7260555357,0,0.7507644956,1,0.8165465314,1,0.7890678782,0,1
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ),0.63158,0.85196,0.74132,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual ),0.00626,0.00847,0.73959,0.01090514724,0,0,0,0.01752155666,0.008140657906,0,0.004326574894,0.006494155384,0.008656253663,0.009285682543,0,0.0115640195,0.01123043472,0.009566380598,0,0.009874021334,0.006419582615,0.005037937651
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.70229,0.95575,0.73481,1,0.4422901553,0.5548173156,1,0,0.95575,1,0.4949456764,1,0.8957501221,0,0,1,0,1,1,1,1,1
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected ),0.37018,0.504,0.73448,0,1,1,0.2268976831,0,0,0.7011553258,0.2637651203,1,0,0.1169596253,0,0.4376143575,0,0,1,0.2869712703,0,1
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.10842,0.14803,0.73241,0.1911617005,0,0,0,0.4840895894,0.1936764196,0,0.1571781581,0.09617323376,0,0.2586871498,0,0.207542118,0,0.2445377186,0,0.1100235307,0,0.1168739984
P(EventW_Machine=EventW_Machine==obstacle detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine>0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.01267,0.01735,0.73037,0.01854056667,0.005810188861,0,0,0.01875203019,0.02949097809,0.010140874,0.01629450983,0.03701380767,0,0.02328112537,0,0.01814497529,0,0.01239646568,0.006989478399,0.01172262338,0.01372541341,0.0184631336
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.10778,0.14803,0.72808,0.2708144697,0,0,0,0,0,0,0.3587569585,0.2101210527,0,0.166253023,0,0.04182386412,0,0,0,0,0,1
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==truck detected ),0.36675,0.504,0.72768,0.5076874419,0.4379976329,0.423183304,0.4300981747,0.3173217721,0.2842466479,0.3806078864,0.3495483492,0.2214148834,0.4838975542,0.2094249831,0.4699558649,0.2800936885,0.3565544708,0.2494258726,0.4082648358,0.3578478885,0.4608419868,0.3398456579
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.92788,0.85196,0.72768,0.8536307151,0.9666330082,0.8823842978,0.9749789505,0.9621706915,0.910522783,0.9733722235,0.9352473821,0.909195291,0.9087366438,0.9290738994,1,0.9081487644,0.9264978014,0.9425104286,0.9393584652,0.9011653114,0.8861404458,0.9199337772
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ),0.36618,0.504,0.72654,0,0,1,0,0,0.1169014453,1,0,1,0.07124714956,0.6138120293,0,0.5385770183,0,0,0,0.6168394659,1,1
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.10727,0.14803,0.72467,0,0,0,0,0,0,0,0,0,0.1868198604,0.374301543,0,0.5670027682,0,0,0,0.3574559199,0,0.552609738
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.00611,0.00847,0.72096,0.01195696853,0,0,0,0.01392205236,0.0234182946,0,0.01016443178,0.004226496495,0,0.01074771534,0,0.009353239796,0,0.01462014161,0,0.008712314768,0,0.00890207497
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.02442,0.03388,0.72071,0,0,0.04803758504,0.2325051743,0,0.002396579872,0.03925182329,0.008379267868,0.04086030163,0.005132808222,0.021316279,0,0.004901726831,0,0.01770080605,0.01546729141,0.02253648488,0.005447095788,0
P(EventW_Machine=EventW_Machine==cyclist detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine>0 Trust_Human=Trust_Human==0 ),0.01107,0.01539,0.71925,0.01046440059,0.01109174333,0.0113552114,0.008732391939,0.008366467239,0.002592552943,0.007568310494,0.01236982945,0.01468255186,0.009074257539,0.01763714758,0.01570028438,0.01507269648,0.01326267368,0.007154930192,0.01239625569,0.007934309073,0.01536174331,0.009498437572
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.68421,0.95575,0.71589,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.68421,0.95575,0.71589,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.54748,0.765,0.71566,0.6179572109,1,0.8555213999,0.248623707,0.6506200091,0,0.6072370957,0.6785812149,0.4545505157,1,0.4400164339,0.2552126772,1,0.258812616,0,0.2616501201,1,0.6130491986,0.4603518023
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.10589,0.14803,0.71531,0,0.2679980595,0.4447720117,0.5262371126,0,0,0.414825011,0.06801139593,0.02870885997,0,0.02769738032,0,0.03816681134,0,0,0.1342240588,0.04103722306,0,0.02017116457
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ),0.35447,0.496,0.71466,0.4622689902,0.3719413595,1,0,0.1325170265,0.1775197667,0.1307595822,0.3483198204,0.4698047335,0.3029035106,0.3075344848,0,0.5846329262,0.5554276563,0.2863400759,0.1990176358,0.1928392038,0.4617743702,0.751348046
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ),0.60798,0.85196,0.71362,1,1,0.223636416,0,1,0.581176455,0.2455733826,0.5436930158,0.8493589092,0.6445710743,0.5007254762,1,0.6961223218,1,0.5785809558,0.5180613641,0.3503209527,0.8197066155,0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ),0.3596,0.504,0.71349,0,0,0,0,0,0.3982726382,0,0,1,0.4341097531,1,0,1,1,1,0,0,1,0
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.08183,0.115,0.71156,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.554749926,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.10526,0.14803,0.71109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==false alarm ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==  ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==cyclist detected ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 EventW_Machine=EventW_Machine==false alarm ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ),0.10526,0.14803,0.71109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
P(Mode_H2M=manual | CurrentBrake_Machine=CurrentBrake_Machine>0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ),0.10526,0.14803,0.71109,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.60568,0.85196,0.71093,1,1,0.08760686171,0.03114899865,1,0.7351190351,0.09788272157,0.5436930158,0.385174298,0.5919702379,0.5562719598,1,0.6961223218,1,0.3398689063,0.5180613641,0.2305132499,0.6944939507,1
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==truck detected ),0.67591,0.95575,0.70721,1,0,0,0,1,1,0,1,0.8423417678,1,1,0,1,1,1,0,1,1,1
P(EventW_Machine=EventW_Machine==false alarm | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.00509,0.00725,0.70251,0,0,0,0,0,0,0,0.08777198825,0,0,0.008999331615,0,0,0,0,0,0,0,0
P(CurrentThrottle_Machine=CurrentThrottle_Machine>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.63158,0.9025,0.69981,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0
P(CurrentThrottle_Machine=CurrentThrottle_Machine>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.63158,0.9025,0.69981,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.59515,0.85196,0.69857,1,1,1,1,1,0,1,0,0.7898657873,0,0,1,1,1,0,0.5180613641,1,0,0
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==obstacle detected ),0.34625,0.496,0.69808,1,0,0,0,0,0.4303362201,0,0.2586587625,0.3510647874,0.3029035106,0.5412172893,0,0.7199063115,0,0.4362373547,0.5540362447,0.5540362447,1,0.4303362201
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.53349,0.765,0.69737,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0.7163775429,1,0.4199597704,1,1
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==truck detected ),0.5334,0.765,0.69725,0.5188464404,0,0,0,0.4821621882,1,0,1,1,0.4095020074,1,0,0.7240032287,0,1,0,1,1,1
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.81568,0.85196,0.69445,0.8381884653,0.7831551194,0.8843740879,0.8498155677,0.7688444608,0.8027122079,0.8040900034,0.7925238723,0.798156125,0.8071040407,0.7896827805,1,0.8016793193,0.7864913337,0.7908927951,0.7827786378,0.8177256716,0.8117460227,0.7879474115
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ),0.34955,0.504,0.69354,0.4285666609,0,0,0.4682179247,1,1,0,1,0,0,0.346321576,0,0,0,0,1,0,1,0.3982726382
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected ),0.52646,0.765,0.68818,0.2879404701,0.8470134452,0.5968327285,0,0.3176638402,0.557239271,0.69871332,0.4130543562,0.7142898803,1,0.282064788,0.3394970414,1,0.5116136919,0.5580905342,0.5152958948,0.6847469594,0.6787056195,0
P(Trust_Human=Trust_Human>0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),0.07902,0.115,0.68709,0.225810022,0.02985621348,0,0,0.02961051998,0,0.05012307532,0.2048640694,0.1039851973,0,0.1652514696,0.506741679,0.1085930123,0,0,0,0,0.07645568477,0
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected ),0.58423,0.85196,0.68575,1,1,0.07408748002,0.0411052029,1,0.5260915708,0.08508930024,0.7044056172,0.6527092442,0.3259641162,0.3756803807,1,0.3292575653,1,0.6731387911,0.6825302011,0.2305132499,0.7396898984,0.6601962057
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==obstacle detected ),0.52454,0.765,0.68567,0,0,0,0,0,1,0,0.5846262805,1,1,1,0,1,0,0.8347552039,1,0.5468340754,1,1
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.65512,0.95575,0.68545,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0.4472632697,1,1,1
P(Trust_Human=Trust_Human==0 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),0.52196,0.765,0.68229,0.6179572109,0.648568825,1,1,0.6506200091,0,1,0,0,0,0,1,1,1,0,1,1,0,0
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine>0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human>0 ),0.33822,0.496,0.68189,0.1818210779,0.2917700523,0.1874336139,0.1755668033,0.2583807761,0.2320502695,0.4895327121,0.3004171983,0.3107353635,0.3945934024,0.653678424,0.3605850678,0.2999024269,0,0.783129591,0.4984622235,0.2619668946,0.3915304606,0.3545877878
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentThrottle_Machine=CurrentThrottle_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.62549,0.91767,0.68161,1,0,1,0,0,0.882130576,0.4914280378,0.4928961053,1,0.9100505631,0.707594433,0,0.7507644956,1,0.8165465314,1,0.832994186,0,1
