
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.41660 * 0.06036 / 0.07805 = 0.32216 (74) (A_count=1226)
P(EventW_Machine=EventW_Machine==cyclist detected | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous Trust_Human=Trust_Human<0 ) = 0.01548 * 0.07500 / 0.02439 = 0.04759 (3) (A_count=40)
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human<0 ) = 0.00864 * 0.00000 / 0.04160 = 0.00000 (0) (A_count=20)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected ) = 0.76504 * 0.00044 / 0.00191 = 0.17581 (1) (A_count=2282)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ) = 0.41660 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1226)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==  ) = 0.11339 * 0.21523 / 0.07255 = 0.33637 (65) (A_count=302)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected ) = 0.76504 * 0.01139 / 0.01265 = 0.68929 (26) (A_count=2282)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm ) = 0.11339 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=302)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00217 / 0.00183 = 1.00000 (4) (A_count=1843)
P(EventW_Machine=EventW_Machine==obstacle detected | Speed_Machine=Speed_Machine<0 Mode_H2M=manual Trust_Human=Trust_Human<0 ) = 0.01746 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=44)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00217 / 0.00213 = 0.85959 (4) (A_count=1843)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected ) = 0.12122 * 0.00000 / 0.00068 = 0.00000 (0) (A_count=296)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ) = 0.15519 * 0.46287 / 0.11630 = 0.61766 (480) (A_count=1037)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00096 / 0.00382 = 0.03921 (1) (A_count=1037)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00275 = 0.00000 (0) (A_count=1037)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human<0 ) = 0.17741 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=766)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm ) = 0.76504 * 0.00044 / 0.00034 = 1.00000 (1) (A_count=2282)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ) = 0.17741 * 0.00000 / 0.00428 = 0.00000 (0) (A_count=766)
P(EventW_Machine=EventW_Machine==  | Speed_Machine=Speed_Machine==0 Mode_H2M=manual Trust_Human=Trust_Human>0 ) = 0.91677 * 0.00037 / 0.00034 = 1.00000 (1) (A_count=2682)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==  ) = 0.12122 * 0.14527 / 0.07270 = 0.24222 (43) (A_count=296)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.41660 * 0.00163 / 0.00385 = 0.17633 (2) (A_count=1226)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00326 / 0.00275 = 1.00000 (6) (A_count=1843)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm ) = 0.76504 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2282)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ) = 0.17741 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=766)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ) = 0.41660 * 0.00571 / 0.00379 = 0.62769 (7) (A_count=1226)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ) = 0.84472 * 0.05263 / 0.11633 = 0.38216 (97) (A_count=1843)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.17741 * 0.00131 / 0.00412 = 0.05618 (1) (A_count=766)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human==0 ) = 0.41660 * 0.00489 / 0.00239 = 0.85251 (6) (A_count=1226)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00488 / 0.00413 = 1.00000 (9) (A_count=1843)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==  ) = 0.76504 * 0.26074 / 0.27177 = 0.73398 (595) (A_count=2282)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected ) = 0.11339 * 0.00000 / 0.00241 = 0.00000 (0) (A_count=302)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ) = 0.17741 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=766)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human<0 ) = 0.17741 * 0.00000 / 0.00233 = 0.00000 (0) (A_count=766)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm ) = 0.11339 * 0.00000 / 0.00034 = 0.00000 (0) (A_count=302)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected ) = 0.11339 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=302)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00163 / 0.00138 = 1.00000 (3) (A_count=1843)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00275 = 0.00000 (0) (A_count=1037)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected ) = 0.11339 * 0.00000 / 0.00138 = 0.00000 (0) (A_count=302)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00386 / 0.00060 = 1.00000 (4) (A_count=1037)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected ) = 0.76504 * 0.00131 / 0.00101 = 1.00000 (3) (A_count=2282)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected ) = 0.76504 * 0.00394 / 0.00773 = 0.39022 (9) (A_count=2282)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine<0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm ) = 0.76504 * 0.00263 / 0.00201 = 1.00000 (6) (A_count=2282)
P(EventW_Machine=EventW_Machine==obstacle detected | Speed_Machine=Speed_Machine==0 Mode_H2M=manual Trust_Human=Trust_Human==0 ) = 0.01746 * 0.00000 / 0.00935 = 0.00000 (0) (A_count=44)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00922 / 0.00779 = 1.00000 (17) (A_count=1843)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected ) = 0.11339 * 0.00662 / 0.00178 = 0.42123 (2) (A_count=302)
P(EventW_Machine=EventW_Machine==cyclist detected | Speed_Machine=Speed_Machine==0 Mode_H2M=manual Trust_Human=Trust_Human>0 ) = 0.01548 * 0.00000 / 0.00035 = 0.00000 (0) (A_count=40)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human>0 ) = 0.17741 * 0.00131 / 0.00023 = 1.00000 (1) (A_count=766)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==  ) = 0.11339 * 0.00000 / 0.00929 = 0.00000 (0) (A_count=302)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00096 / 0.04278 = 0.00350 (1) (A_count=1037)
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous Trust_Human=Trust_Human<0 ) = 0.00864 * 0.00000 / 0.03882 = 0.00000 (0) (A_count=20)
P(EventW_Machine=EventW_Machine==pedestrian detected | Speed_Machine=Speed_Machine>0 Mode_H2M=manual Trust_Human=Trust_Human>0 ) = 0.03402 * 0.00000 / 0.01617 = 0.00000 (0) (A_count=73)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ) = 0.40564 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=888)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine<0 Mode_H2M=manual EventW_Machine=EventW_Machine==  ) = 0.12122 * 0.08108 / 0.15198 = 0.06467 (24) (A_count=296)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human==0 ) = 0.17741 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=766)
P(EventW_Machine=EventW_Machine==obstacle detected | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.01746 * 0.13636 / 0.03633 = 0.06554 (6) (A_count=44)
P(EventW_Machine=EventW_Machine==false alarm | Speed_Machine=Speed_Machine>0 Mode_H2M=manual Trust_Human=Trust_Human==0 ) = 0.00727 * 0.04762 / 0.17396 = 0.00199 (1) (A_count=21)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ) = 0.41660 * 0.00571 / 0.01155 = 0.20595 (7) (A_count=1226)
P(EventW_Machine=EventW_Machine==obstacle detected | Speed_Machine=Speed_Machine<0 Mode_H2M=manual Trust_Human=Trust_Human==0 ) = 0.01746 * 0.04545 / 0.15150 = 0.00524 (2) (A_count=44)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected ) = 0.12122 * 0.00000 / 0.00476 = 0.00000 (0) (A_count=296)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00326 / 0.00275 = 1.00000 (6) (A_count=1843)
P(EventW_Machine=EventW_Machine==false alarm | Speed_Machine=Speed_Machine>0 Mode_H2M=manual Trust_Human=Trust_Human<0 ) = 0.00727 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=21)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00163 / 0.00257 = 0.53441 (3) (A_count=1843)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine<0 Mode_H2M=manual EventW_Machine=EventW_Machine==  ) = 0.76504 * 0.18317 / 0.14956 = 0.93695 (418) (A_count=2282)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human<0 ) = 0.40564 * 0.00676 / 0.00274 = 1.00000 (6) (A_count=888)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ) = 0.84472 * 0.32284 / 0.27660 = 0.98592 (595) (A_count=1843)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00109 / 0.00092 = 1.00000 (2) (A_count=1843)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.04171 = 0.00000 (0) (A_count=1037)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine<0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected ) = 0.76504 * 0.00088 / 0.00067 = 1.00000 (2) (A_count=2282)
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine<0 Mode_H2M=manual Trust_Human=Trust_Human>0 ) = 0.00864 * 0.00000 / 0.00832 = 0.00000 (0) (A_count=20)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human<0 ) = 0.40564 * 0.00000 / 0.00060 = 0.00000 (0) (A_count=888)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00109 / 0.00092 = 1.00000 (2) (A_count=1843)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected ) = 0.11339 * 0.05629 / 0.01120 = 0.57001 (17) (A_count=302)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ) = 0.40564 * 0.67005 / 0.46723 = 0.58172 (595) (A_count=888)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ) = 0.40564 * 0.00676 / 0.00423 = 0.64753 (6) (A_count=888)
P(EventW_Machine=EventW_Machine==obstacle detected | Speed_Machine=Speed_Machine<0 Mode_H2M=manual Trust_Human=Trust_Human>0 ) = 0.01746 * 0.00000 / 0.00831 = 0.00000 (0) (A_count=44)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ) = 0.41660 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1226)
P(EventW_Machine=EventW_Machine==obstacle detected | Speed_Machine=Speed_Machine==0 Mode_H2M=manual Trust_Human=Trust_Human>0 ) = 0.01746 * 0.00000 / 0.00035 = 0.00000 (0) (A_count=44)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00000 / 0.00275 = 0.00000 (0) (A_count=1037)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ) = 0.41660 * 0.00163 / 0.00209 = 0.32509 (2) (A_count=1226)





P(Trust_Human=Trust_Human>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.12122 * 0.00000 / 0.00238 = 0.00000 (0) (A_count=296)
P(Trust_Human=Trust_Human>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.12122 * 0.00000 / 0.00102 = 0.00000 (0) (A_count=296)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.00000 / 0.00367 = 0.00000 (0) (A_count=1037)
P(EventW_Machine=EventW_Machine==cyclist detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.01548 * 0.27500 / 0.05695 = 0.07473 (11) (A_count=40)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human>0 ) = 0.57327 * 0.00115 / 0.00103 = 0.63638 (2) (A_count=1744)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human<0 ) = 0.42638 * 0.00176 / 0.00207 = 0.36329 (2) (A_count=1136)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00054 / 0.00106 = 0.43350 (1) (A_count=1843)
P(EventW_Machine=EventW_Machine==cyclist detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.01548 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=40)
P(Trust_Human=Trust_Human<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.03642 / 0.00826 = 0.50019 (11) (A_count=302)
P(EventW_Machine=EventW_Machine==  | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.91677 * 0.03393 / 0.03783 = 0.82223 (91) (A_count=2682)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.04859 = 0.00000 (0) (A_count=1037)
P(EventW_Machine=EventW_Machine==  | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.91677 * 0.01790 / 0.01683 = 0.97502 (48) (A_count=2682)
P(EventW_Machine=EventW_Machine==cyclist detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.01548 * 0.00000 / 0.01699 = 0.00000 (0) (A_count=40)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00504 = 0.00000 (0) (A_count=1037)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00675 / 0.00517 = 0.20250 (7) (A_count=1037)
P(Trust_Human=Trust_Human==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.76504 * 0.00044 / 0.00073 = 0.46041 (1) (A_count=2282)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ) = 0.42638 * 0.01408 / 0.00831 = 0.72287 (16) (A_count=1136)
P(Mode_H2M=manual | EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00046 = 0.00000 (0) (A_count=1037)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.32664 / 0.30677 = 0.89945 (602) (A_count=1843)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00326 / 0.00365 = 0.75375 (6) (A_count=1843)
P(EventW_Machine=EventW_Machine==obstacle detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ) = 0.01746 * 0.06818 / 0.22119 = 0.00538 (3) (A_count=44)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.42638 * 0.08891 / 0.06784 = 0.55880 (101) (A_count=1136)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ) = 0.42638 * 0.00264 / 0.00409 = 0.27556 (3) (A_count=1136)
P(Trust_Human=Trust_Human==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.76504 * 0.00438 / 0.00335 = 1.00000 (10) (A_count=2282)
P(Trust_Human=Trust_Human<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ) = 0.11339 * 0.00000 / 0.00275 = 0.00000 (0) (A_count=302)
P(Trust_Human=Trust_Human==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.76504 * 0.00219 / 0.00325 = 0.51611 (5) (A_count=2282)
P(Mode_H2M=autonomous | EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00543 / 0.00608 = 0.75375 (10) (A_count=1843)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human==0 ) = 0.42638 * 0.00440 / 0.00253 = 0.74045 (5) (A_count=1136)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ) = 0.42638 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1136)
P(CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ) = 0.42638 * 0.18134 / 0.31348 = 0.24665 (206) (A_count=1136)
P(EventW_Machine=EventW_Machine==obstacle detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ) = 0.01746 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=44)
P(Trust_Human=Trust_Human<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ) = 0.11339 * 0.05298 / 0.01804 = 0.33292 (16) (A_count=302)
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human<0 ) = 0.57327 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1744)
